City,Country
Grenoble,France
Sarajevo,Bosnia and Herzegovina
Athina,Greece
Montreal,Canada
Mexico City,Mexico
St. Louis,United States
Squaw Valley,United States
Antwerpen,Belgium
Lake Placid,United States
Beijing,China
Oslo,Norway
Sankt Moritz,Switzerland
Nagano,Japan
Tokyo,Japan
Garmisch-Partenkirchen,Germany
Helsinki,Finland
Roma,Italy
Cortina d'Ampezzo,Italy
Sapporo,Japan
Sydney,Australia
Torino,Italy
Salt Lake City,United States
Stockholm,Sweden
Vancouver,Canada
Seoul,"Korea, Republic of"
Rio de Janeiro,Brazil
Atlanta,United States
Berlin,Germany
Paris,France
Barcelona,Spain
Melbourne,Australia
Sochi,Russian Federation
Innsbruck,Austria
Lillehammer,Norway
Munich,Germany
London,United Kingdom
Calgary,Canada
Moskva,Russian Federation
Los Angeles,United States
Amsterdam,Netherlands
Chamonix,France
Albertville,France